Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
270,125.9722222,83.86666667,4669.866667,98.65915493,1.335211268,72.16666667,0.475592748,0.365547229,0.354366197,159
272,121.4722222,78,4078.266667,110.4223827,1.588447653,70.33333333,0.378482229,0.431853311,0.422382671,186
273,124.5,112.2,8665.366667,208.1353082,2.28182546,84.5,0.445745511,0.457457292,0.538991193,181
274,112.3,72.46666667,3764.3,181.8502415,2.743961353,67.5,0.926530612,0.681410627,0.700161031,268
275,120.7222222,70,3347.066667,105.0334728,1.673640167,54.5,0.302049622,0.411513508,0.439330544,155
276,113.9333333,81,5317.766667,198.6712329,2.176836862,66,0.557395143,0.54706711,0.605230386,251
277,122.1111111,103.9333333,7344.3,212.8782609,2.185507246,67.16666667,0.402131783,0.521897453,0.602512077,219
278,112.9333333,114.1333333,8589.2,357.8833333,3.966666667,81.33333333,0.904148784,0.710389173,0.951111111,271
279,123.9444444,83.73333333,5337.866667,130.4039088,1.345276873,63,0.463840399,0.427998031,0.409120521,186
280,113,93.46666667,5831.6,242.9833333,3.05,72,0.77016129,0.636917248,0.778888889,261
281,124.3333333,87.33333333,5447.466667,129.2911392,1.424050633,58.83333333,0.4428684,0.369373922,0.414556962,177
282,133.2333333,129.3333333,11665.46667,330.778828,2.948960302,74.66666667,0.438818565,0.514806271,0.733459357,368
283,125.2222222,74.2,3854.7,81.49471459,1.196617336,58,0.417821782,0.309513229,0.313742072,124
285,122.6666667,101,7465.366667,201.5850585,2.00180018,69.16666667,0.362530414,0.489345256,0.545454545,205
286,109.5666667,79.93333333,4197.5,239.8571429,3.508571429,63,1.388235294,0.817247191,0.91352381,275
288,116.5333333,149.2666667,14787.5,533.8447653,4.267148014,108.3333333,0.794354839,0.810420847,1.077737665,495
289,123.6666667,50.8,1979.466667,47.73633441,1.08681672,43.66666667,0.292487236,0.257515923,0.245016077,100
290,123.4722222,56.4,2179.6,54.49,1.19,47.33333333,0.412073491,0.290631496,0.282,115
291,124.1666667,51.6,2286.4,53.6713615,0.957746479,40.16666667,0.329733621,0.255346363,0.242253521,88
292,126.3888889,51.4,2504.566667,46.58214507,0.735275883,51,0.450292398,0.234657354,0.191196528,64
293,124.1111111,67.46666667,3085.066667,69.58796992,1.236090226,58,0.314814815,0.296873489,0.304360902,114
295,110,91.06666667,5939.866667,293.0855263,3.927631579,82.83333333,0.909090909,0.996782447,0.898684211,327
296,111.5666667,76.66666667,4362.4,189.6695652,2.660869565,66,0.721428571,0.652592458,0.666666667,269
297,110,97.6,6530.666667,332.0677966,4.250847458,89.5,0.973895582,1.021724663,0.992542373,336
298,110.8333333,101.6,7033.466667,332.8138801,3.766561514,84,0.958579882,0.947633229,0.961514196,333
299,109.9444444,94.86666667,6148.966667,314.2572402,4.160136286,83.83333333,0.846153846,0.987212512,0.96967632,326
301,112.2222222,94.66666667,5987.2,264.920354,3.238938053,81.66666667,0.760204082,0.847881212,0.837758112,314
302,110.7777778,96.06666667,6442.166667,318.3937397,3.848434926,94.83333333,1.096774194,1.04443558,0.949588138,332
303,110.5,110.1333333,8417.2,408.6019417,4.291262136,84.83333333,1.072916667,1.00236025,1.069255663,340
304,111.7333333,97.4,6440.566667,259.3516779,2.727516779,63.33333333,0.763191763,0.597856628,0.78442953,268
305,121.5,107,7998.966667,233.6601753,2.461538462,82.5,0.519640853,0.58181994,0.625121714,259
306,116.2777778,80.2,4419.366667,175.1400264,2.546895641,77,0.507575758,0.680454258,0.635667107,207
307,122.1666667,70.46666667,3346.966667,94.10402999,1.703842549,56.33333333,0.326923077,0.371488854,0.396251172,132
308,124.2777778,87.46666667,5059.866667,122.022508,1.726688103,64.66666667,0.393518519,0.348144063,0.421864952,128
309,124.8888889,64.46666667,2872.966667,63.89103039,1.249814678,56.33333333,0.361945637,0.283665192,0.286730912,75
310,122.25,73.93333333,3838.966667,105.5627864,1.776351971,56.83333333,0.294772922,0.344965667,0.40659945,143
311,123.9166667,77.73333333,3978.4,92.95327103,1.308411215,65.83333333,0.416861827,0.371883716,0.363239875,160
312,125.5,62.2,2798.566667,54.90974493,1.009810334,52.33333333,0.424848485,0.263157613,0.244081099,101
313,125.2777778,87,6074.166667,119.963792,1.566820276,81.5,0.338418079,0.376794218,0.343647136,182
314,121.8333333,107.2666667,8161.9,366.0044843,3.964125561,73.5,0.577698695,0.785402251,0.962032885,369
315,115,109.2,8525.2,264.757764,2.48447205,74.66666667,0.415300546,0.509148418,0.67826087,240
316,101.2,50.8,1695.466667,179.0985915,4.267605634,45.5,3.558232932,1.209203326,1.073239437,288
317,110.0555555,85.66666667,5023.766667,249.1123967,3.441322314,78.16666667,0.883629191,0.938425294,0.849586777,310
318,110.6111111,91.33333333,5579.066667,269.0868167,3.530546624,81,0.82078853,0.906940529,0.881028939,314
319,107.2083333,150.0666667,15937.76667,687.9611511,5.654676259,73.83333333,1.193078324,0.819756314,1.295539568,475
320,137.0666667,150.7333333,16626.56667,395.556701,2.916732752,85.16666667,0.413228553,0.480071479,0.717208565,247
321,107.9333333,51.73333333,1863.2,133.0857143,3,51.83333333,1.801324503,0.8467525,0.739047619,273
322,116.1388889,92.4,6180.666667,226.6748166,2.992665037,69.16666667,0.467353952,0.532991913,0.677750611,207
323,112.3333333,101.5333333,6934.166667,284.5759234,3.537619699,94.16666667,0.601889339,0.869245909,0.833378933,325
324,117.3055556,85,5064.166667,190.621079,2.594730238,78,0.473913043,0.660594811,0.639899624,231
70,108.4666667,125.3333333,11546.26667,605.5734266,5.629370629,94.5,2.048484848,1.106195846,1.314685315,534
131,143.2222222,185.5333333,26080.16667,900.3509781,5.958573072,105,1.278518519,0.82639731,1.281012658,623
132,104.0416667,153.1333333,17551.9,831.8436019,6.104265403,75.66666667,2.598639456,0.913511122,1.45150079,507
154,104.3333334,23.73333333,725.0666667,271.9,8.2,68.83333333,148.6666667,6.913765707,1.78,569
159,138.4444444,181,24629.36667,880.6686532,5.957091776,100,1.328548644,0.828098669,1.294398093,627
175,118.0666667,170.3333333,19528.96667,641.6966046,4.593647317,123,0.835125448,0.817441759,1.119386637,500
184,102.1666667,108,8219.466667,497.1451613,5.588709677,73.66666667,1.590551181,1.126097857,1.306451613,390
215,116.6666667,171.5333333,21328.56667,688.7588805,5.095801938,121,0.821875,0.789184175,1.107857912,504
228,112.9333333,130.2666667,11595.46667,511.5647059,4.976470588,106,0.9093702,0.966716878,1.149411765,525
250,128.9166667,175.8,24356.3,970.3705179,6.310756972,96.66666667,2.618589744,0.940764103,1.400796813,593
260,116.7333333,172.6666667,21575.86667,789.3609756,5.292682927,125.1666667,1.43258427,0.934061163,1.263414634,511
271,104.375,153.6,16987.46667,767.5060241,5.638554217,74.33333333,1.764705882,0.864116678,1.387951807,499
284,118,173.2666667,20845.9,711.4641638,4.744027304,127.5,1.014245014,0.884052746,1.182707622,505
287,120.8,174.6666667,21274.8,604.3977273,4.340909091,125.1666667,0.635078969,0.716783502,0.992424242,484
294,107.4,108.6,8852.566667,568.6873662,5.430406852,94.83333333,2.385416667,1.336265646,1.395289079,534
300,106.2666667,100.0666667,7877.9,543.3034483,5.172413793,87.33333333,2.38047138,1.328146869,1.380229885,532
