Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
168,0.329941564,66.8,4190.266667,483.4923077,6.523076923,56,7.444444444,1.676676058,1.541538462,375
169,0.623918482,8.533333333,48,0.761904762,0.101587302,90.16666667,0.891719745,0.390155229,0.027089947,246
170,0.474345591,80,4782.8,191.312,2.4,48.5,0.698245614,0.511890613,0.64,344
171,0.57818723,12.33333333,106.3,1.751235585,0.164744646,57.33333333,0.644371941,0.223119375,0.040637013,104
172,0.357225544,74.26666667,5026.266667,509.4189189,6.337837838,63.16666667,4.626262626,1.822800289,1.505405405,438
173,0.440039174,58.13333333,2544,112.5663717,1.805309735,47.5,0.351681957,0.54875384,0.514454277,211
174,0.467401549,106.4666667,7716.166667,319.2896552,3.103448276,53.5,0.878151261,0.555136002,0.881103448,355
176,0.390496207,42.13333333,1275.466667,164.9310345,4.965517241,42.33333333,4.300925926,1.155590506,1.089655172,294
177,0.346728908,19.4,377.7666667,159.6197183,7.323943662,105.6666667,192.1666667,9.941586984,1.63943662,598
178,0.412664469,122.4,10484.8,499.2761905,4.628571429,98.33333333,1.143192488,1.031594616,1.165714286,408
179,0.458105084,60.66666667,2523.066667,92.53300733,1.745721271,52.5,0.310218978,0.44539229,0.444987775,194
180,0.553481751,110.0666667,13505.9,286.7494692,1.991507431,45.66666667,0.269898265,0.367654571,0.467374381,353
181,0.418659056,41.6,1213.066667,142.15625,3.984375,65.16666667,4.481848185,2.153548608,0.975,566
182,0.49755854,98.2,6560.3,170.3974026,2.166233766,88.66666667,0.453365775,0.527783572,0.51012987,283
183,0.528692881,159.1333333,16766.16667,466.1584801,3.58665431,99.66666667,0.582655827,0.600252787,0.88489342,402
185,0.460640008,63.06666667,3011.2,99.05263158,1.342105263,44.83333333,0.264900662,0.45736304,0.414912281,241
186,0.386840703,76.2,4206.966667,310.0958231,4.466830467,81.66666667,1.273584906,1.259299452,1.123341523,355
187,0.391663347,71.26666667,3965.366667,299.6498741,4.34256927,57.83333333,1.376984127,1.010515178,1.077078086,301
188,0.384472153,63.8,3234.966667,245.6936709,3.746835443,39.83333333,1.566308244,0.653777556,0.969113924,234
189,0.380996892,64.73333333,3577.5,290.8536585,4.097560976,45,1.781746032,1.021144541,1.052574526,296
190,0.514504467,74.6,3681.766667,83.61317184,1.230885693,75.5,0.61579347,0.455454366,0.338834217,260
191,0.535971718,77,4000.566667,82.3726836,1.338366507,92.16666667,0.646850672,0.440762376,0.317089911,253
192,0.422551432,69.13333333,3347.766667,258.1825193,4.766066838,60.33333333,2.138666667,0.958824096,1.066323907,322
193,0.356362212,25.66666667,554.9666667,133.192,4.544,16.33333333,11.91111111,1.138813418,1.232,299
194,0.530047956,156.4,16354.26667,574.5058548,4.145199063,86.66666667,0.951080774,0.796466427,1.09882904,564
195,0.366733194,17.93333333,225.7666667,76.1011236,4.764044944,64,21.15151515,5.542003136,1.208988764,529
196,0.352214936,27.26666667,505.9,95.45283019,3.962264151,53.5,5.719298246,2.045340651,1.028930818,303
197,0.620475689,18,212,3.464052288,0.235294118,94.66666667,0.776508972,0.370357555,0.058823529,253
198,0.480040448,69.06666667,3365.066667,100.5498008,1.689243028,64.83333333,0.406666667,0.462452891,0.412749004,224
199,0.637711441,46.8,2227.066667,37.66178129,0.633596392,115.8333333,0.760915868,0.446520228,0.158286359,297
200,0.408679174,35.6,895.4666667,119.9285714,3.892857143,62.5,5.058608059,2.400760701,0.953571429,562
201,0.499032639,107.6,8093.066667,225.6431227,2.431226766,95.66666667,0.488061127,0.590224068,0.6,242
202,0.545860446,93.73333333,5957.066667,122.2380301,1.493844049,101.5,0.441458733,0.43253177,0.384678523,228
203,0.489654865,64.33333333,2928.566667,77.81842338,1.417183348,60.5,0.353658537,0.380114401,0.341895483,183
204,0.480297006,144.7333333,14392.56667,514.6328963,4.138259833,73.83333333,1.044657097,0.59070519,1.035041716,403
205,0.428040676,103.2,9298.8,611.7631579,5.342105263,62.33333333,2.96031746,1.038797989,1.357894737,452
206,0.563490877,134.2,14323.76667,321.4008975,2.321615557,80.66666667,0.363398693,0.461979489,0.602243829,376
207,0.548401842,90.2,5849.766667,116.4518912,1.420039814,104.1666667,0.444242424,0.417507892,0.359124088,216
208,0.532900181,86.66666667,5059.866667,114.1323308,1.65112782,94.83333333,0.710750193,0.505406912,0.390977444,269
209,0.471303061,102.5333333,7486.666667,232.0247934,2.838842975,89.83333333,0.44634378,0.580744844,0.63553719,281
210,0.437653661,101.4666667,7431.866667,333.7664671,3.832335329,100.1666667,0.87311828,1.028634852,0.911377246,376
211,0.42910072,73,3498.166667,230.6483516,3.837362637,50.5,1.614427861,0.764850953,0.962637363,297
212,0.505616097,119.8,9983.1,251.4634761,2.685138539,113.1666667,0.466338259,0.579640101,0.603526448,280
213,0.405028523,70.13333333,3897.066667,254.1565217,3.72173913,60.83333333,1.026143791,0.917125966,0.914782609,294
214,0.377853303,73.06666667,5116.266667,451.4352941,5.494117647,52.16666667,2.88372093,1.537987833,1.289411765,416
216,0.548269478,57.46666667,2945.466667,55.50502513,0.811557789,55.5,0.408259587,0.248941124,0.216582915,82
217,0.404155546,53.53333333,2726.3,169.3354037,2.683229814,31.33333333,0.936111111,0.517714273,0.665010352,221
218,0.501786452,139.5333333,13469.5,497.0295203,4.361623616,84.66666667,0.89556962,0.808903073,1.029766298,567
219,0.496187952,75.13333333,3889.1,101.0155844,1.397402597,69.5,0.463203463,0.46276955,0.39030303,257
220,0.517419783,49.73333333,1661.466667,35.85899281,0.831654676,54.83333333,0.583508036,0.321791894,0.214676259,150
221,0.394169686,58.6,3055.766667,215.7011765,3.369411765,27,1.329787234,0.61758319,0.827294118,246
222,0.504203816,74.4,3782.666667,92.11038961,1.318181818,65,0.476549414,0.418396785,0.362337662,227
223,0.481629943,84.8,4740.666667,138.3463035,2.042801556,74.66666667,0.391136802,0.516118196,0.494941634,260
224,0.488222848,72,3425.866667,94.28990826,1.519266055,65.33333333,0.349376114,0.418879431,0.396330275,207
225,0.340598243,68.66666667,4437.866667,500.5112782,6.646616541,44.66666667,6.347826087,1.755280832,1.54887218,425
226,0.459648365,82.2,5285.1,186.7526502,2.614840989,66.66666667,0.64953271,0.631045239,0.580918728,257
227,0.450042803,60.86666667,3079.366667,127.0715268,1.876203576,61.83333333,0.322429907,0.678168359,0.502338377,275
229,0.394979719,67.86666667,4095.2,296.7536232,3.942028986,58.33333333,1.394636015,1.146841996,0.983574879,339
230,0.409106313,65.6,3667.866667,227.3471074,3.388429752,57.33333333,0.962616822,0.914857742,0.81322314,305
231,0.418390726,72.13333333,3582.666667,195.4181818,3.054545455,53,0.766859345,0.70554826,0.786909091,236
232,0.506801286,104.4,8461.466667,247.8945313,2.30078125,52.66666667,0.348051948,0.453999695,0.61171875,373
233,0.388366397,56.2,2820.966667,199.1270588,2.912941176,43.5,1.130555556,0.728276156,0.793411765,240
234,0.454224378,82.53333333,4698.266667,234.1328904,3.009966777,45.83333333,1.042735043,0.583274136,0.822591362,321
235,0.508030956,70.6,3290.966667,76.95167576,1.276695246,65.5,0.599684791,0.42791187,0.330163679,225
236,0.467691892,51.8,2164.3,72.87205387,1.252525253,44.16666667,0.357142857,0.47236416,0.348821549,210
237,0.513150275,68.33333333,3194.166667,72.21175584,1.217784476,59.66666667,0.63495935,0.401224297,0.308967596,226
238,0.53171724,118.3333333,11618.7,285.4717445,2.329238329,66.33333333,0.290736984,0.44588258,0.581490581,380
239,0.568679994,38.26666667,1010.266667,17.62093023,0.493023256,71.5,0.721436985,0.336010801,0.133488372,192
240,0.520525254,51.06666667,1746.266667,36.58379888,0.879888268,43.33333333,0.498628258,0.231038685,0.21396648,74
