Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
184,59.16666668,70.46666667,4427.766667,490.1586716,6.317343173,92.16666667,8.296296296,2.210529225,1.560147601,333
215,80.4,134,12489.2,520.3833333,3.983333333,110.3333333,0.800884956,0.962041938,1.116666667,547
228,74,107.2666667,9499.366667,551.2205029,4.425531915,90.33333333,1.543478261,1.193628916,1.244874275,570
250,95.33333334,168.1333333,20416.26667,827.6864865,5.648648649,100,1.608391608,0.980909821,1.363243243,586
260,81.86666667,141.1333333,13719.36667,536.6114733,4.232073012,118.5,0.688295165,0.952039572,1.104041721,538
271,67.41666666,138.7333333,14770.7,765.3212435,6.341968912,86.16666667,3.162393162,1.061310851,1.437651123,538
284,81.86666667,139.2,13607.06667,550.1509434,4.172506739,118.1666667,0.78683834,0.983200517,1.125606469,320
287,87.40000001,170.4666667,19350.56667,569.6928361,4.08047105,125.3333333,0.663793103,0.754995071,1.003729146,495
294,68.06666667,101.0666667,9554.666667,762.3404255,6.5,89.5,4.772727273,1.728782732,1.612765957,581
300,68.8,102.3333333,9522.166667,730.601023,6.250639386,87.66666667,3.918238994,1.64002246,1.570332481,577
