Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
222,2.213358479,66.73333333,3222.7,222.2551724,3.268965517,39.16666667,1.089238845,0.702113526,0.92045977,214
223,2.198059706,97.13333333,6818.166667,395.6382979,5.094777563,80.5,0.897750511,1.043808433,1.127272727,376
224,2.132731186,68.4,3858.666667,314.5652174,3.923913043,50.33333333,1.549019608,1.155182188,1.115217391,299
225,2.408018948,60,2543.466667,91.0548926,1.742243437,32.33333333,0.298941799,0.300971593,0.429594272,135
226,2.336384553,95.46666667,6287.866667,286.6808511,3.331306991,64.66666667,0.610229277,0.787808876,0.870516717,309
227,2.4693356,104.4666667,7301.5,247.5084746,2.8,68.66666667,0.541966427,0.635647204,0.708248588,281
229,2.497756661,50.53333333,2062.266667,60.18287938,1.159533074,43.83333333,0.371089536,0.394942832,0.294941634,160
230,2.748569,59.26666667,2463.5,48.78217822,0.910891089,81.33333333,0.601869159,0.363832311,0.234719472,198
231,2.807937052,53.53333333,1882.7,36.27552987,0.813102119,78.66666667,0.534839925,0.313133572,0.206294155,120
232,2.394741278,90.33333333,5454.7,256.0892019,3.117370892,41.83333333,1.02020202,0.537086375,0.848200313,341
233,2.674510861,93.06666667,6590.4,145.8053097,1.743362832,60.33333333,0.485897436,0.351416463,0.41179941,154
234,2.985295182,114.4666667,14772.7,299.6490872,1.99188641,75.33333333,0.347554039,0.393446389,0.464367816,338
235,2.481948589,94.46666667,6225.366667,195.5612565,2.358115183,63.5,0.634920635,0.587927111,0.593507853,260
236,2.460150157,91.66666667,6232.566667,201.2669537,2.53606028,57.5,0.632791328,0.494370369,0.592034446,177
237,2.320866268,86.93333333,6125.066667,307.277592,3.244147157,58.66666667,0.679324895,0.895484559,0.872240803,328
238,2.414613542,116.2666667,9229.066667,386.6927374,3.888268156,58,0.699530516,0.593724924,0.974301676,405
239,2.476914381,113.0666667,8723.2,274.3144654,2.767295597,66,0.525821596,0.512749004,0.711111111,189
240,2.298573463,62.06666667,2657.766667,134.4569983,2.516020236,37.66666667,0.615853659,0.473498508,0.627993255,163
241,2.30690519,70.33333333,3566.566667,167.9701727,2.781789639,41.66666667,0.638095238,0.431674039,0.662480377,156
242,3.32933275,5.2,21.46666667,0.336820084,0.058577406,68.66666667,0.454355764,0.262616888,0.016317992,121
243,2.791843758,130.2,13333.5,322.8450363,2.615012107,73.16666667,0.335917313,0.443152195,0.630508475,387
244,2.357174079,57,2939.5,129.4933921,1.823788546,38.33333333,0.323763955,0.50003396,0.502202643,190
245,2.715877043,129.5333333,13028.56667,311.4398406,2.347410359,70.5,0.343837535,0.418442025,0.619282869,386
246,2.682472076,89.33333333,5892.4,128.0956522,1.373913043,73.83333333,0.532781228,0.401625164,0.388405797,234
247,2.539078084,114.4,9204.266667,288.8368201,2.820083682,53.66666667,0.385087719,0.469729334,0.717991632,398
248,2.448863545,105.2666667,7217.766667,289.0961282,3.228304406,45.5,0.709016393,0.494859052,0.843257677,347
249,2.602991696,119.8666667,10051.06667,292.7495146,2.633009709,59.33333333,0.390328152,0.475898523,0.698252427,402
251,2.490244711,97.4,7080.566667,238.9392576,2.584926884,46,0.402131783,0.432086591,0.657367829,363
252,2.594464461,86.53333333,5053.066667,125.4900662,1.67218543,69,0.569777778,0.446096053,0.429801325,197
253,2.603564313,104.2,9055.9,249.4738292,2.055096419,50,0.31239531,0.423856653,0.574104683,384
254,2.559530086,108.8,9817.066667,302.3737166,3.051334702,49.5,0.319571865,0.450231971,0.670225873,387
255,2.529229913,90.26666667,6922.666667,220.9361702,2.391489362,39.16666667,0.311575283,0.413922759,0.576170213,367
256,2.418722619,93.73333333,5768.666667,254.5,3.017647059,42.66666667,0.885007278,0.542102788,0.827058824,368
257,2.491211827,87.66666667,5941.766667,208.971864,2.325908558,38.33333333,0.440763052,0.450023177,0.616647128,370
258,2.464496185,127.8,11072.56667,516.6049767,4.6562986,73.83333333,1.660033167,0.955376247,1.192534992,577
259,2.436456166,98.8,6773.466667,279.1263736,3.291208791,42.83333333,0.6139748,0.506190172,0.814285714,364
261,2.443141136,109.9333333,8407.1,305.7127273,3.069090909,75,0.631578947,0.741770646,0.799515152,315
262,2.512759109,101.8,7201.5,217.5679758,2.211480363,81,0.418063315,0.601895458,0.61510574,274
263,2.419991875,86.46666667,4945.766667,176.8450536,2.224076281,51.83333333,0.419708029,0.538104674,0.618355185,210
264,2.447282929,81.86666667,4640.4,153.6556291,1.894039735,54.83333333,0.397814208,0.530592906,0.542163355,218
265,2.705131912,81.13333333,4847.766667,106.2330168,1.282688093,73.83333333,0.458759373,0.430169116,0.35558802,245
266,2.266286556,64.8,3614.666667,224.9792531,3.020746888,38.5,0.947089947,0.729774549,0.806639004,232
267,2.467161827,83.33333333,4795.066667,148.607438,2.049586777,54.83333333,0.532855436,0.497591915,0.516528926,216
268,2.865031348,122.0666667,14284.56667,303.7115521,2.052445074,66,0.325073746,0.402553877,0.519064493,366
269,2.359675167,86.26666667,4911.466667,214.1627907,2.930232558,47,0.537984496,0.561738939,0.752325581,199
270,2.701533198,52.4,1789.2,35.92771084,0.843373494,39,0.589068826,0.241750909,0.210441767,98
272,2.542480856,76.4,4129.466667,113.0328467,1.602189781,60.16666667,0.426870748,0.454453758,0.418248175,214
273,2.445035462,70.53333333,3871.2,129.9060403,1.89261745,55.66666667,0.396325459,0.535199541,0.473378076,227
274,2.459368762,89.86666667,5914,227.4615385,2.753846154,40.16666667,0.534188034,0.484786634,0.691282051,359
275,2.664618281,58.66666667,2396,52.54385965,1.026315789,57.83333333,0.658018868,0.379867355,0.257309942,203
276,2.671982913,115.3333333,10842.66667,282.8521739,2.486956522,61.33333333,0.29424307,0.438826412,0.60173913,391
277,2.457288429,114.2,8600.166667,286.9911012,3.156840934,70.66666667,0.535087719,0.599648953,0.7621802,248
