Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
257,5.066102042,90,6087.866667,220.0433735,2.58313253,52,0.50877193,0.490004607,0.65060241,367
258,5.141790934,117.6666667,9777.766667,400.1814461,3.967257844,76.16666667,1.031798246,0.853807686,0.963165075,575
259,5.025620959,113.0666667,8355.866667,320.5575448,3.314578005,62.5,0.646840149,0.575596741,0.867519182,421
261,5.340388813,63.33333333,2819.866667,70.37936772,1.098169717,74.33333333,0.490145673,0.490013108,0.316139767,293
262,5.085031573,87.53333333,4952.566667,149.3236181,2.068341709,82,0.424148607,0.610873419,0.527839196,317
263,5.516315132,58.8,2285.466667,52.25914634,0.99695122,89.66666667,0.579844961,0.493773037,0.268902439,287
264,4.922677295,64.26666667,2934,104.0425532,1.673758865,55,0.30504305,0.546206738,0.455791962,256
265,5.176167016,74.2,3706.166667,104.5954845,1.574788335,80,0.544278607,0.584067652,0.418814675,304
266,4.538707613,64.53333333,3356.266667,185.0882353,2.639705882,40.16666667,0.600877193,0.585093286,0.711764706,243
267,4.429963818,58,3351.866667,221.4889868,3.242290749,39.16666667,1.29122807,0.685432686,0.766519824,253
268,6.355991667,106,12823.2,278.7652174,1.991304348,64,0.29081947,0.402298584,0.460869565,341
269,4.361937981,77,4552.7,352.9224806,4.744186047,51.5,1.806584362,0.976884312,1.19379845,286
270,5.524105551,26.2,529.3666667,11.61741039,0.471104609,29.83333333,0.330520394,0.196966108,0.114996342,64
272,5.73871456,33,786.1666667,16.16518163,0.456477039,52,0.517990496,0.296727166,0.13570939,184
273,5.224275481,35.26666667,912.5666667,23.66205704,0.750216076,41,0.489497717,0.272999766,0.182886776,140
274,4.752646204,61.66666667,2986.166667,149.557596,2.414023372,36.33333333,1.11062591,0.536483119,0.61769616,281
275,5.870879813,28.66666667,582.6666667,11.54557464,0.404227213,62.66666667,0.630594522,0.316294255,0.113606341,209
276,7.312989981,116.4666667,16149.1,312.3617021,1.992263056,85.66666667,0.302688172,0.414285874,0.450548034,336
277,4.672994699,62.4,3063.866667,141.4092308,2.049230769,41.33333333,0.373737374,0.566496552,0.576,235
278,4.938928717,67.8,3889.5,161.3900415,2.074688797,38.83333333,0.626811594,0.46223934,0.562655602,319
279,5.062021009,46.46666667,1531.9,45.72835821,0.949253731,47.66666667,0.412121212,0.358186843,0.277412935,197
280,5.491510492,94.53333333,8640,234.7826087,1.989130435,52.66666667,0.242424242,0.439911625,0.513768116,383
281,5.46169056,38.53333333,1146.266667,26.01210287,0.568835098,49.5,0.533033033,0.311411165,0.174886536,193
282,6.318987286,23.13333333,370.5666667,6.766281193,0.309190505,67.66666667,0.731857319,0.36274698,0.08447961,244
283,4.632607863,71.8,4042.966667,204.53457,2.718381113,55.66666667,0.530398323,0.772373469,0.726475548,298
285,4.500631859,80.53333333,4809.6,289.7349398,3.734939759,57,0.892561983,0.942834702,0.970281124,321
286,6.240343143,103,12405.36667,274.2527634,1.991156964,60.16666667,0.220194647,0.408006677,0.45541636,340
288,4.875463543,96.66666667,6443.2,285.0973451,3.663716814,60,0.777777778,0.590154838,0.855457227,355
289,6.414390639,22.53333333,358.2666667,6.482509047,0.318455971,83.83333333,0.660561661,0.373097703,0.081544029,246
290,5.284093151,36.13333333,1138.8,28.18811881,0.673267327,53.33333333,0.534031414,0.351852951,0.178877888,193
291,5.349232585,60.86666667,2445.366667,59.6916192,1.088689992,74.66666667,0.680868839,0.466504563,0.297152156,270
292,4.689387072,95,6293.766667,305.0290792,3.518578352,75.83333333,0.570754717,0.936160566,0.920840065,352
293,4.954833006,65.46666667,3441.2,117.8493151,1.684931507,62.5,0.565891473,0.629595964,0.448401826,311
295,4.967345562,39.86666667,1254.266667,38.79175258,0.993814433,32.83333333,0.202483286,0.257734021,0.246597938,122
296,4.821390599,80.13333333,4395.466667,218.3178808,2.920529801,47.33333333,0.970204842,0.604737666,0.79602649,331
297,4.266643588,64.2,3525.9,306.6,4.347826087,40.66666667,2.040540541,0.904607915,1.116521739,262
298,4.400272746,63.6,3568.8,254.9142857,3.657142857,36.33333333,1.340501792,0.705180056,0.908571429,251
299,4.432556607,60.06666667,3109.366667,206.8314856,3.130820399,28,1.075757576,0.551941667,0.799113082,229
301,4.330258964,64.53333333,3396.266667,266.7225131,3.947643979,35.5,1.748148148,0.781478288,1.013612565,248
302,4.393996914,65.93333333,3535.1,254.323741,3.827338129,47.5,1.594982079,0.815069074,0.948681055,256
303,4.256552351,60.93333333,3426.266667,307.748503,4.622754491,32.66666667,2.821428571,0.79196003,1.094610778,254
304,5.589310758,95.26666667,9138.7,238.6083551,1.989556136,62.5,0.236725664,0.438919366,0.497476066,375
305,5.738409038,26.46666667,502.1666667,10.21355932,0.402711864,61.33333333,0.60137457,0.294024761,0.107661017,173
306,5.998077844,17,288.9666667,5.553491352,0.260089686,34.33333333,0.688888889,0.256527712,0.065342729,161
307,4.996167788,78.8,4307.466667,137.7654584,1.765458422,59.66666667,0.419595314,0.566590761,0.504051173,303
308,6.601181439,30.73333333,622.1666667,10.92159157,0.41778818,94.5,0.581744656,0.387727231,0.107899356,261
309,5.082313,53.26666667,2086.7,61.91988131,1.127596439,53.66666667,0.385802469,0.434866331,0.316122651,233
310,5.848694027,35,825.3666667,16.58472873,0.510381782,80,0.530152419,0.387017133,0.140656397,246
311,6.89048882,17.8,221.5,3.710217755,0.227805695,80.83333333,0.602310231,0.30403279,0.059631491,200
312,5.134483854,51.06666667,2375.866667,68.01145038,1.080152672,60.83333333,0.62296748,0.53474035,0.292366412,283
313,5.034027809,50.46666667,2410.966667,74.95233161,1.195854922,59.83333333,0.480225989,0.525298661,0.313782383,283
314,7.459797352,109.6,16746,315.9622642,1.99245283,67.83333333,0.285413375,0.391650223,0.413584906,330
315,5.052067842,89.8,5832.566667,217.9041096,2.562889166,58.83333333,0.50617284,0.522992645,0.670983811,378
316,4.745293688,56.4,2495.2,134.1505376,2.301075269,30.66666667,1.050458716,0.511842515,0.606451613,295
317,4.701499784,60.53333333,2670.266667,117.8058824,1.929411765,43.16666667,0.385878489,0.453287205,0.534117647,195
318,4.674171098,50.93333333,2305.066667,105.4146341,1.743902439,30.33333333,0.29787234,0.389039204,0.465853659,197
319,6.14680715,156.5333333,19475.2,544,3.977653631,91.66666667,0.464769648,0.693612911,0.874487896,548
320,5.537806679,44.6,1387.9,30.77383592,0.687361419,70.16666667,0.642533937,0.414307286,0.197782705,258
321,5.271152106,93.2,7527.2,226.7228916,2.289156627,53,0.320864505,0.451481364,0.561445783,388
322,4.903591943,66.86666667,3547.5,127.1505376,1.634408602,58.16666667,0.425287356,0.613415377,0.479330944,296
323,5.170086765,54.4,2250,62.15469613,1.016574586,50.16666667,0.323342416,0.361395467,0.300552486,196
324,4.711215718,82.8,4638.266667,211.4711246,2.899696049,63.83333333,0.509615385,0.693357309,0.755015198,281
70,4.240322939,47.6,1769.466667,248.0560748,4.990654206,40.33333333,6.353333333,1.2399654,1.334579439,307
131,4.014953786,9.733333333,106.2666667,83.89473684,6.526315789,113.6666667,151.1111111,19.36105409,1.536842105,588
